A	00:00:03.600	00:00:04.400	hi.
B	00:00:04.400	00:00:05.990	hi.
A	00:00:08.000	00:00:09.040	what are you doing?
B	00:00:09.040	00:00:10.960	what is it look like i'm doing?
A	00:00:10.960	00:00:12.320	why have you got that shopping?
B	00:00:12.320	00:00:13.120	ER, let's see...
B	00:00:13.120	00:00:14.960	because it's my day for shopping?
A	00:00:14.960	00:00:16.710	but i did the shopping today.
A	00:00:16.720	00:00:18.480	you're cooking tonight.
B	00:00:18.480	00:00:18.800	no.
B	00:00:18.800	00:00:19.510	it's friday.
B	00:00:19.520	00:00:21.189	you're cooking tonight.
A	00:00:21.199	00:00:23.199	but that was last friday.
A	00:00:23.199	00:00:25.029	you did the shopping and i cooked.
A	00:00:25.039	00:00:26.039	remember?
B	00:00:27.039	00:00:29.960	let's go in and look at the rota.

C	00:00:30.960	00:00:32.719	it's my day for the living room.
D	00:00:32.719	00:00:33.360	no, it isn't.
D	00:00:33.360	00:00:35.030	you're in the bathroom today.
C	00:00:35.040	00:00:36.719	i cleaned the bathroom yesterday.
D	00:00:36.719	00:00:37.280	no, you didn't.
D	00:00:37.280	00:00:39.590	you were watching television when i came home.
C	00:00:39.600	00:00:42.790	i did it after you went to bed.
C	00:00:42.800	00:00:43.600	let go of it.
D	00:00:43.600	00:00:45.760	no, you let go of it!
B	00:00:45.760	00:00:47.430	what's going on?
C	00:00:47.440	00:00:50.709	i came in to do the living room, and he was cleaning the carpet.
D	00:00:50.719	00:00:51.920	it's my turn.
C	00:00:51.920	00:00:52.800	no, it isn't.
D	00:00:52.800	00:00:54.354	yes, it is!
B	00:00:54.354	00:00:56.186	boys!
D	00:00:58.239	00:01:01.199	why are you both carrying shopping?
A	00:01:01.199	00:01:02.950	jane got the wrong day.
B	00:01:02.960	00:01:05.519	i didn't get the wrong day! you did.
C	00:01:05.519	00:01:06.550	and you did.
D	00:01:06.560	00:01:08.550	no, i didn't! i looked on the rota.
D	00:01:08.560	00:01:11.030	tuesday it was the bathroom.
B	00:01:11.040	00:01:11.680	hang on a minute.
B	00:01:11.680	00:01:13.119	that's not right.
B	00:01:13.119	00:01:15.270	i'm doing the bathroom tomorrow.
C	00:01:15.280	00:01:16.720	look, i'm doing the bathroom.
C	00:01:16.720	00:01:18.550	you're doing the kitchen floor.
D	00:01:18.560	00:01:20.799	no, no, no, no, no, that's me.
D	00:01:20.799	00:01:22.310	i'm positive.
C	00:01:22.320	00:01:24.840	oh yeah?
D	00:01:24.840	00:01:33.190	yeah!
D	00:01:33.200	00:01:35.840	and who's going to clear that up?
A	00:01:38.840	00:01:39.069	matt!
B	00:01:40.079	00:01:40.960	ok.
B	00:01:40.960	00:01:43.670	so the rotor wasn't a great success.
B	00:01:43.680	00:01:46.110	the house is looking good at the moment.

B	00:01:50.399	00:01:52.880	that saturday i was coming home from the gym...
B	00:01:52.880	00:01:55.389	...and i stopped to admire the view.
B	00:01:56.399	00:01:56.960	hi.
E	00:01:56.960	00:01:58.799	oh, hi.
B	00:01:58.799	00:02:00.469	the weather's better today.
E	00:02:00.479	00:02:02.799	it's certainly better than yesterday.
B	00:02:02.799	00:02:04.510	yes, it is.
E	00:02:05.520	00:02:07.360	what are you doing tomorrow?
B	00:02:07.360	00:02:09.280	oh, nothing special.
B	00:02:09.280	00:02:11.680	just another boring sunday.
E	00:02:11.680	00:02:13.910	would you like to go somewhere?
B	00:02:13.920	00:02:15.150	what? do you mean with...?
E	00:02:15.200	00:02:16.319	yes, with me.
B	00:02:16.319	00:02:20.840	Er... yes, i'd love to.
B	00:02:20.840	00:02:22.229	where?
E	00:02:22.239	00:02:25.670	how about on the river? we can go punting.
B	00:02:25.680	00:02:27.120	that would be good.
E	00:02:27.120	00:02:30.080	great i'll call for you at about half past nine.
B	00:02:30.080	00:02:31.309	ER.
B	00:02:32.319	00:02:32.879	no.
B	00:02:32.879	00:02:34.160	i'll call for you.
E	00:02:34.160	00:02:34.959	ok.
E	00:02:35.120	00:02:36.319	see you then.
B	00:02:36.319	00:02:37.800	see you.
B	00:02:38.800	00:02:40.229	i'm looking forward to it.
E	00:02:40.239	00:02:41.599	me too.
B	00:02:41.599	00:02:42.840	bye.
E	00:02:42.840	00:02:43.060	bye.

A	00:03:01.920	00:03:03.120	oh, hi.
A	00:03:03.120	00:03:04.319	you're up early.
B	00:03:04.319	00:03:05.830	i couldn't sleep.
