A	00:00:05.440	00:00:06.399	what are you doing?
B	00:00:06.399	00:00:08.150	i'm exercising.
A	00:00:08.160	00:00:09.519	don't you have some work to do?
B	00:00:09.519	00:00:10.880	i am working.
B	00:00:10.880	00:00:13.280	i'm working and exercising.
A	00:00:13.280	00:00:14.560	what work are you doing?
B	00:00:14.560	00:00:17.199	I'm thinking about what?
B	00:00:17.199	00:00:20.160	about ideas for mrs baby's vacation.
A	00:00:20.160	00:00:23.189	and what are you thinking?
B	00:00:23.199	00:00:25.199	beach vacation.
A	00:00:25.199	00:00:27.830	i have to finish this. can you go exercise somewhere else?
B	00:00:27.840	00:00:28.850	no problem.
C	00:00:44.480	00:00:45.760	what are you doing?
B	00:00:45.760	00:00:47.270	i'm getting in shape.
C	00:00:47.280	00:00:49.029	why are you doing that here?
C	00:00:49.039	00:00:54.879	why don't you go to a gym or the park or outside or home?
B	00:00:54.879	00:01:01.990	i don't have time to go to the gym.
C	00:01:02.000	00:01:03.417	i can't work when you do that.
C	00:01:03.417	00:01:04.400	can you go over there?
B	00:01:04.400	00:01:05.246	no problem.
D	00:01:16.400	00:01:16.890	bob
B	00:01:16.890	00:01:17.600	huh
D	00:01:17.600	00:01:19.119	what are you doing?
B	00:01:19.119	00:01:20.390	i'm working.
D	00:01:20.400	00:01:22.479	then why are you running?
B	00:01:22.479	00:01:23.670	to get in shape.
B	00:01:23.680	00:01:26.400	running burns a lot of calories.
D	00:01:26.400	00:01:29.439	exercise later work now please.
B	00:01:29.439	00:01:30.272	yes sir.
D	00:01:48.640	00:01:51.032	i'm meeting a client at the cafe for lunch marie.
C	00:01:51.032	00:01:52.000	okay.
B	00:01:57.759	00:02:00.870	so what do you do to stay in shape?
C	00:02:00.880	00:02:03.840	i generally go running in the morning.
C	00:02:03.840	00:02:06.560	i do aerobics two nights a week.
C	00:02:06.560	00:02:12.710	i always play tennis or golf on the weekends and i usually go bike riding every sunday if the weather is good.
B	00:02:12.720	00:02:14.400	you don't lift weights?
C	00:02:14.400	00:02:15.120	no.
B	00:02:15.120	00:02:17.750	oh you have to lift weights to really stay in shape.
C	00:02:17.760	00:02:19.451	i don't like to go to a gym.
B	00:02:19.451	00:02:21.706	you don't have to go to a gym to lift weights.
B	00:02:21.706	00:02:32.400	you can lift weights anywhere like this or this or even this.
B	00:02:34.000	00:02:35.990	maybe not that.
C	00:02:36.000	00:02:38.879	thanks for the suggestions.
B	00:02:38.879	00:02:41.750	hey why don't we go running together sometime?
C	00:02:41.760	00:02:42.560	okay.
C	00:02:42.560	00:02:43.680	where do you run?
B	00:02:43.680	00:02:47.200	to the park and back.
C	00:02:47.200	00:02:48.560	oh.
B	00:02:48.560	00:02:50.869	where do you run?
C	00:02:50.879	00:03:05.680	to the park and then to the market then to the symphony hall then to harper street then to the library then to the theater and then back.
B	00:03:05.680	00:03:07.350	oh.
C	00:03:07.360	00:03:10.319	so do you want to go running after work today?
B	00:03:10.319	00:03:13.509	gotta meet a friend for dinner.
C	00:03:13.519	00:03:14.959	some other time then.
B	00:03:14.959	00:03:16.239	yeah! sure.
C	00:03:16.239	00:03:19.200	hey, can you answer the phones for a while?
C	00:03:19.200	00:03:21.990	i have to go to the post office and there's only one here.
B	00:03:22.000	00:03:22.758	no problem.

B	00:03:52.560	00:03:55.120	that's your cousin teddy.
B	00:03:55.120	00:04:01.750	he's a waiter he's single and he likes rock music.
E	00:04:01.760	00:04:03.840	it's my brother eddie.
E	00:04:03.840	00:04:04.949	he's a doctor.
E	00:04:04.959	00:04:06.879	he's got a wife and two kids.
E	00:04:06.879	00:04:11.760	and he likes classical music.
E	00:04:11.760	00:04:13.840	how about this one?
B	00:04:13.840	00:04:15.190	i don't know.
B	00:04:15.200	00:04:16.079	a cousin?
E	00:04:16.079	00:04:16.639	no.
B	00:04:16.639	00:04:17.440	your brother?
E	00:04:17.440	00:04:18.066	no!
B	00:04:18.066	00:04:18.949	and uncle?
E	00:04:18.959	00:04:21.600	it's my aunt judy.
B	00:04:21.600	00:04:26.710	sorry mrs morris.
B	00:04:26.720	00:04:29.120	she looks like your uncle.
E	00:04:29.120	00:04:31.030	tell me something about her.
B	00:04:31.040	00:04:32.320	she's an architect.
E	00:04:32.320	00:04:33.040	artist.
B	00:04:33.040	00:04:33.670	married?
E	00:04:33.680	00:04:34.479	divorced.
B	00:04:34.479	00:04:35.759	two kids?
B	00:04:35.759	00:04:36.880	three kids?
B	00:04:36.880	00:04:37.440	four.
B	00:04:37.440	00:04:38.574	five kids?
E	00:04:38.574	00:04:41.590	no kids.
E	00:04:41.600	00:04:43.120	only eight more.
E	00:04:43.120	00:04:44.080	here's an easy one.
B	00:04:44.080	00:04:45.280	i don't know
E	00:04:45.280	00:04:46.880	it's my father.
B	00:04:46.880	00:04:48.880	i know who your father is.
B	00:04:48.880	00:04:51.600	why are you showing me photos of your father?
E	00:04:51.600	00:04:54.400	my family is coming in one hour.
E	00:04:54.400	00:04:55.656	now pay attention.
B	00:04:55.656	00:04:57.520	why do you have such a large family?
E	00:04:57.520	00:04:58.962	it's not that large.
B	00:04:58.962	00:05:00.400	not that large.
B	00:05:00.400	00:05:05.909	you have six brothers and sisters fourteen aunts and uncles.
B	00:05:05.919	00:05:10.800	who knows how many cousins nieces and nephews.
B	00:05:10.800	00:05:12.880	i'd say that's a large family.
E	00:05:12.880	00:05:14.293	they're not all coming over.
B	00:05:14.293	00:05:16.320	no just eighteen of them.
E	00:05:16.320	00:05:17.830	i'm sorry honey.
E	00:05:17.840	00:05:20.720	i just want them to like you.
E	00:05:20.720	00:05:22.070	calm down.
E	00:05:22.080	00:05:23.520	it's okay.
E	00:05:23.520	00:05:25.430	you're doing fine.
B	00:05:25.440	00:05:27.120	okay.
B	00:05:27.120	00:05:33.749	i'm okay.
B	00:05:33.759	00:05:34.782	your cousin john?
B	00:05:42.639	00:05:45.749	that's your sister's husband ernie.
B	00:05:45.759	00:05:56.629	they live on park street two kids elizabeth is twelve years old and katie is eight.
B	00:05:56.639	00:06:04.840	ernie's an architect he likes baseball basketball and the movies.
E	00:06:04.840	00:06:05.919	wow!
E	00:06:05.919	00:06:09.590	one more.
B	00:06:09.600	00:06:12.000	your nephew david.
B	00:06:12.000	00:06:14.960	his nickname is dave.
B	00:06:14.960	00:06:16.629	he lives on king street.
B	00:06:16.639	00:06:21.670	he's single and he's a student.
B	00:06:21.680	00:06:25.590	he loves to travel.
B	00:06:25.600	00:06:31.759	he likes jazz and he doesn't like fish.
E	00:06:31.759	00:06:33.350	you're amazing!
F	00:06:33.360	00:06:34.800	very nice!
E	00:06:34.800	00:06:36.790	oh it's almost six.
F	00:06:36.800	00:06:38.587	bob would you wipe off the counter?
B	00:06:57.199	00:06:59.920	i'll be in the bathroom for a while.
E	00:07:08.319	00:07:13.110	hello everyone come on in!

D	00:07:13.120	00:07:18.629	well it happens in some countries but usually not over here.
D	00:07:18.639	00:07:20.880	so you're from italy?
G	00:07:20.880	00:07:21.599	yes i am.
D	00:07:21.599	00:07:23.110	and you're traveling to tokyo.
G	00:07:23.120	00:07:23.680	yes.
D	00:07:23.680	00:07:26.960	well welcome to top notch travel agency.
D	00:07:26.960	00:07:29.199	let me introduce you to my staff.
D	00:07:29.199	00:07:30.960	then we'll talk about tokyo.
D	00:07:30.960	00:07:32.639	marie i'd like you to meet.
C	00:07:32.639	00:07:34.240	george morett!
D	00:07:34.240	00:07:35.390	oh you know him.
G	00:07:40.479	00:07:42.160	it's very nice to meet you.
G	00:07:42.160	00:07:44.080	what's your name?
C	00:07:44.080	00:07:45.599	my name?
C	00:07:45.599	00:07:48.390	um.
C	00:07:48.400	00:07:49.199	marie.
C	00:07:49.199	00:07:50.080	yes.
C	00:07:50.080	00:07:52.390	i'm marie lepage.
