A	00:00:07.120	00:00:09.190	it's a big day today.
A	00:00:09.200	00:00:17.670	we have a new neighbor, and we're all very excited.
A	00:00:17.680	00:00:19.590	well, jane and i certainly are.
B	00:00:19.600	00:00:23.760	Are you ready?
B	00:00:23.760	00:00:25.750	lt's a quarter to seven.
A	00:00:25.760	00:00:27.237	what time does the film start?
B	00:00:27.237	00:00:29.039	half past seven.
A	00:00:29.039	00:00:30.320	ok.
C	00:00:30.320	00:00:32.389	he's nice.
A	00:00:32.399	00:00:38.470	he's very nice.
B	00:00:38.480	00:00:40.480	but not good-looking.
C	00:00:40.551	00:00:42.830	he is good-looking.
D	00:00:43.967	00:00:45.751	it's nearly ten to seven. 
D	00:00:48.509	00:00:49.331	who's that?
B	00:00:49.520	00:00:51.280	new neighbor.
D	00:00:51.280	00:00:54.790	that's a nice car.
C	00:00:54.800	00:00:56.000	i bet it's fast.
B	00:00:56.000	00:00:57.910	that thing? It's slow.
A	00:00:57.920	00:00:59.386	it's very expensive.
B	00:00:59.386	00:01:00.480	it's cheap.
D	00:01:00.480	00:01:02.470	is it?
D	00:01:02.480	00:01:03.520	oh yeah.
D	00:01:03.520	00:01:07.109	and it's horrible.
A	00:01:07.119	00:01:08.880	let's say hello.
B	00:01:08.880	00:01:09.826	now?
C	00:01:09.826	00:01:11.578	yes.

A	00:01:15.119	00:01:17.280	hello.
E	00:01:17.280	00:01:18.000	hi.
A	00:01:18.000	00:01:18.870	i'm helen.
E	00:01:18.880	00:01:20.000	i'm simon.
C	00:01:20.000	00:01:21.280	and i'm jane.
E	00:01:21.280	00:01:22.630	hi jane.
A	00:01:22.640	00:01:24.840	come in and meet the others.
E	00:01:24.840	00:01:28.149	ok.
A	00:01:28.159	00:01:29.119	this is matt.
E	00:01:29.119	00:01:30.479	hi, i'm simon.
B	00:01:30.479	00:01:32.334	hello and i'm david.
E	00:01:32.334	00:01:33.200	hi.
A	00:01:33.200	00:01:34.550	would you like some tea or coffee?
E	00:01:34.560	00:01:36.880	oh, yes. coffee please.
A	00:01:36.880	00:01:38.830	matt, can you?
D	00:01:38.840	00:01:42.789	what? oh, yeah, sure.
D	00:01:42.799	00:01:43.856	milk, no sugar. 
E	00:01:44.090	00:01:44.653	right.
B	00:01:44.880	00:01:47.830	let me give you a hand.
C	00:01:47.840	00:01:48.791	have a seat?
E	00:01:48.791	00:01:49.509	thanks.
A	00:01:53.920	00:01:56.000	so where are you from, simon?
E	00:01:56.000	00:01:57.200	newcastle.
C	00:01:57.200	00:01:58.640	david's from manchester.
E	00:01:58.640	00:01:59.590	oh?
A	00:01:59.600	00:02:01.360	i'm from london.
C	00:02:01.360	00:02:02.870	i'm from brighton.
A	00:02:02.880	00:02:06.069	and matt comes from birmingham.
E	00:02:06.079	00:02:07.200	what do you do?
A	00:02:07.200	00:02:11.110	i'm a marketing assistant for mcdougall's the publishing company.
C	00:02:11.120	00:02:13.440	i'm a drama teacher.
A	00:02:13.440	00:02:15.190	david's a lawyer.
C	00:02:15.200	00:02:18.710	and matt runs a computer game shop.
A	00:02:18.720	00:02:20.319	what about you?
E	00:02:20.319	00:02:21.360	i'm a journalist.
A	00:02:21.360	00:02:23.280	really? where do you work?
E	00:02:23.280	00:02:25.750	i work in london, for a sports magazine.
E	00:02:25.760	00:02:27.520	do you know work out?
A	00:02:27.520	00:02:30.080	know it? i buy it!
E	00:02:30.080	00:02:30.744	really?
A	00:02:32.420	00:02:34.214	sometimes.
B	00:02:43.350	00:02:45.040	I hate being late for films.
D	00:02:45.040	00:02:46.040	biscuits?
B	00:02:45.040	00:02:46.577	no!
E	00:02:54.160	00:02:55.835	i go to the office most days.
E	00:02:55.835	00:02:58.790	but on wednesdays and fridays i work from home.
D	00:02:58.800	00:02:59.920	here's your coffee.
E	00:02:59.920	00:03:01.910	oh, thank you.
B	00:03:01.920	00:03:04.000	the film starts at seven thirty.
E	00:03:04.000	00:03:05.697	oh, i'm sorry. i didn't realise...
A	00:03:05.710	00:03:06.412	don't worry.
A	00:03:06.800	00:03:10.149	the cinema is only ten minutes away.
B	00:03:10.159	00:03:10.868	come on, matt.
B	00:03:10.868	00:03:12.319	let's wait in the car.
