A	00:00:08.607	00:00:09.914	I love the beach.
B	00:00:10.023	00:00:11.202	ME, TOO.
A	00:00:11.160	00:00:15.264	hey, Roger, does this beach have cute lifeguards?
C	00:00:15.120	00:00:17.630	I don't know.
A	00:00:18.519	00:00:19.491	how do I say?
A	00:00:19.810	00:00:22.613	help! I'm drowning,in Chinese?
C	00:00:23.006	00:00:25.458	you can just say, JIU Ming!
B	00:00:26.079	00:00:27.522	can you swim, patty?
A	00:00:28.204	00:00:28.906	yes.
A	00:00:29.292	00:00:33.555	but maybe I can practice Chinese with a cute lifeguard.
B	00:00:33.841	00:00:35.235	Oh, patty!

A	00:00:40.834	00:00:43.063	do you need some sunscreen, Daisy?
A	00:00:43.510	00:00:45.449	I can put it on your back for you.
B	00:00:45.572	00:00:47.268	no thanks.
B	00:00:47.531	00:00:49.171	I want a tan first.
A	00:00:49.400	00:00:50.652	why?
B	00:00:50.780	00:00:52.850	my skin is too white!
A	00:00:52.820	00:00:55.828	Roger, do you want some sunscreen?
C	00:00:55.985	00:00:56.840	not yet.
C	00:00:57.049	00:00:58.894	I'm going in the water first!
C	00:00:59.047	00:01:00.795	are you girls coming?
C	00:01:01.898	00:01:02.656	let's go!
A	00:01:16.103	00:01:17.499	that was fun!
A	00:01:17.664	00:01:19.075	I love the ocean.
C	00:01:19.608	00:01:20.630	me too.
C	00:01:21.030	00:01:22.277	swimming is fun.
B	00:01:23.155	00:01:25.245	I like swimming in a pool better, though.
B	00:01:25.663	00:01:28.693	the water is cleaner, and it doesn't have salt in it.
C	00:01:28.999	00:01:32.123	well, you don't have to drink the ocean water.
B	00:01:32.624	00:01:34.441	I didn't try to drink it.
B	00:01:34.708	00:01:36.187	you splashed me.
B	00:01:36.555	00:01:38.368	the water went into my mouth.
C	00:01:38.833	00:01:39.925	I'm sorry.
B	00:01:39.963	00:01:41.024	no, you're not.
C	00:01:41.693	00:01:42.623	you're right.
A	00:01:50.350	00:01:54.330	there aren't very many people in the ocean today.
C	00:01:54.340	00:01:57.639	maybe Chinese people don't like to swim.
B	00:01:57.905	00:01:59.297	no, you're wrong.
B	00:01:59.180	00:02:02.741	I see Chinese people at the pool all the time.
B	00:02:02.870	00:02:05.143	some of them are great swimmers.
C	00:02:05.489	00:02:09.589	oh, well, maybe they're not here to swim.
C	00:02:10.000	00:02:13.295	maybe they just come to the beach to have fun.
B	00:02:13.380	00:02:15.754	that's why we're here!
A	00:02:19.335	00:02:22.747	hey, guys, let's go for a walk along the beach!
C	00:02:22.912	00:02:23.761	ok.
B	00:02:24.883	00:02:28.275	I'm going to lie here on my towel a little longer.
B	00:02:28.388	00:02:29.402	I want a tan.
C	00:02:29.788	00:02:31.031	come on!
C	00:02:31.438	00:02:35.630	you can go with us and get a tan at the same time.
B	00:02:36.214	00:02:38.073	oh, all right.
A	00:02:38.435	00:02:42.901	but first, you both really need to put on some suntan lotion!
C	00:02:49.238	00:02:51.254	that was a fun walk, patty.
C	00:02:51.878	00:02:55.129	but the rocks on the beach hurt my feet.
B	00:02:55.205	00:02:56.988	why don't you wear sandals?
B	00:02:57.036	00:02:58.384	I told you too.
C	00:02:58.887	00:03:00.601	and I'm hot, too.
C	00:03:00.746	00:03:03.112	we walked a long time.
A	00:03:03.454	00:03:04.512	we did.
A	00:03:04.951	00:03:07.296	but I found some pretty rocks.
C	00:03:07.763	00:03:08.805	I'm glad.
C	00:03:09.099	00:03:10.652	but let's go swimming now.
C	00:03:10.906	00:03:12.250	I want to cool down.
B	00:03:12.616	00:03:14.137	that sounds good.
B	00:03:14.237	00:03:15.613	let's go swimming again.
A	00:03:15.678	00:03:16.060	wait.
A	00:03:17.231	00:03:18.643	take my picture first.
B	00:03:18.659	00:03:19.138	ok.
C	00:03:25.817	00:03:28.441	patty, are you coming with us?
A	00:03:28.670	00:03:33.060	no, I want to look for more pretty rocks now.
B	00:03:33.527	00:03:34.685	do you collect them?
A	00:03:34.620	00:03:35.670	yes.
A	00:03:36.536	00:03:41.083	my brother and I always collect shells and rocks when we go to the beach.
B	00:03:41.711	00:03:42.302	fun.
C	00:03:42.684	00:03:44.020	do you want some help?
C	00:03:44.169	00:03:46.245	we can look for more rocks with you.
A	00:03:47.287	00:03:48.156	that's ok.
A	00:03:48.382	00:03:49.565	you too go swimming.
