A	00:00:14.900	00:00:16.213	this is my house.
A	00:00:16.535	00:00:19.160	it's not big and it's not small.
A	00:00:19.955	00:00:20.990	but i like it.
A	00:00:21.940	00:00:23.285	three people live here.
A	00:00:23.974	00:00:24.768	this is matt.
B	00:00:25.033	00:00:27.056	hi, i'm Matt.
A	00:00:27.843	00:00:28.770	this is david.
C	00:00:29.478	00:00:29.846	hello.
C	00:00:29.960	00:00:30.744	my name's david.
A	00:00:32.506	00:00:33.416	and that's me.
A	00:00:33.462	00:00:34.394	hi helen.
A	00:00:34.600	00:00:35.270	pleased to meet you.
A	00:00:35.300	00:00:36.620	so there are three people.
A	00:00:36.686	00:00:38.839	but there are four bedrooms.
A	00:00:38.885	00:00:41.073	so today is interview day.
C	00:00:41.706	00:00:42.500	what's your job?
E	00:00:42.938	00:00:44.332	i'm a jazz musician.
B	00:00:44.573	00:00:45.264	really?
B	00:00:45.472	00:00:46.370	what do you play?
E	00:00:46.860	00:00:47.648	the drums.

F	00:01:01.520	00:01:02.935	but he's very quiet.
F	00:01:04.574	00:01:05.519	and friendly.
F	00:01:09.595	00:01:10.240	no dogs?
B	00:01:14.120	00:01:14.650	sorry.

G	00:01:23.574	00:01:25.266	one hundred and fifty pounds a month?
G	00:01:26.614	00:01:26.959	great.
C	00:01:28.617	00:01:29.285	no.
A	00:01:30.056	00:01:32.509	one hundred and fifty pounds a week.
A	00:01:35.837	00:01:36.367	sorry.

A	00:01:39.452	00:01:40.270	where are you from?
H	00:01:40.719	00:01:41.339	edinburgh.
H	00:01:41.400	00:01:42.826	but my job's in oxford.
A	00:01:42.970	00:01:43.367	good.
H	00:01:44.565	00:01:45.740	this is a nice house.
A	00:01:46.223	00:01:47.996	thanks we're happy here.
A	00:01:49.701	00:01:50.200	ok?
A	00:01:53.028	00:01:53.910	ok, Anne...
H	00:01:53.915	00:01:54.818	Cigarette?
A	00:01:57.885	00:01:58.782	i don't smoke.
A	00:02:01.146	00:02:03.622	we don't smoke, do we?
B	00:02:04.762	00:02:06.213	uh... no.
C	00:02:07.070	00:02:07.894	we don't smoke.
H	00:02:08.976	00:02:09.471	oh.
A	00:02:11.314	00:02:11.993	sorry.

A	00:02:19.777	00:02:20.700	this is terrible.
B	00:02:22.713	00:02:24.000	who is next?
C	00:02:24.164	00:02:25.304	her name's jane.
C	00:02:26.160	00:02:27.286	she's number eight.
C	00:02:28.137	00:02:29.175	she's the last.
C	00:02:36.540	00:02:38.765	so jane tell us about yourself.
I	00:02:39.778	00:02:40.500	tell you what?
B	00:02:41.700	00:02:42.380	anything.
I	00:02:45.248	00:02:46.203	i'm from brighton.
I	00:02:46.975	00:02:48.200	i'm a drama teacher.
I	00:02:49.243	00:02:50.164	i don't smoke.
I	00:02:51.920	00:02:53.181	i like films.
I	00:02:53.768	00:02:54.551	good food.
A	00:02:55.380	00:02:55.930	good food?
I	00:02:56.428	00:02:56.992	yeah.
I	00:02:57.729	00:03:00.723	italian, french, chinese.
B	00:03:01.426	00:03:02.209	do you cook?
I	00:03:03.222	00:03:05.502	yes, i'm a very good cook.
C	00:03:08.841	00:03:09.785	do you have a dog?
I	00:03:10.430	00:03:11.099	no.
B	00:03:11.559	00:03:12.203	cat?
I	00:03:12.687	00:03:13.171	no.
A	00:03:13.769	00:03:14.967	no animals?
B	00:03:18.076	00:03:19.642	do you play the drums?
I	00:03:21.208	00:03:22.037	no.
C	00:03:22.475	00:03:25.952	trombone, violin, saxophone?
I	00:03:27.771	00:03:28.531	nothing.
A	00:03:34.266	00:03:35.947	that's great, jane.
A	00:03:36.085	00:03:37.144	it's your room.
I	00:03:37.812	00:03:38.964	fantastic!
C	00:03:40.069	00:03:41.040	when can you move in?
I	00:03:41.750	00:03:42.510	next week?
B	00:03:43.040	00:03:43.690	this week?
C	00:03:45.435	00:03:45.895	tomorrow?
I	00:03:46.448	00:03:47.277	sure.
A	00:03:48.866	00:03:51.307	welcome to fifty-three blackwood road.
I	00:03:51.814	00:03:52.666	thank you.
I	00:03:52.942	00:03:53.841	thanks a lot.

A	00:03:57.318	00:04:00.243	so now there are four of us.
A	00:04:04.490	00:04:08.787	there are four people in the house now, and i'm very happy.
A	00:04:09.063	00:04:09.990	and jane?
A	00:04:10.640	00:04:12.195	well, we all like her.
I	00:04:12.563	00:04:14.083	morning everybody.
A	00:04:16.060	00:04:16.824	what's this?
I	00:04:17.192	00:04:21.430	it's a video film about my new house and my new housemates.
I	00:04:22.006	00:04:23.525	it's for my sister, alison.
A	00:04:24.055	00:04:25.828	oh, right.
I	00:04:26.796	00:04:27.694	is it ok?
A	00:04:28.431	00:04:30.043	yeah, sure.
I	00:04:32.185	00:04:33.221	ok, ally.
I	00:04:34.511	00:04:36.767	this is the kitchen.
I	00:04:41.166	00:04:43.446	and who is this?
I	00:04:47.683	00:04:48.857	say something.
C	00:04:49.272	00:04:50.240	say what?
C	00:04:50.250	00:04:51.650	it's half past seven in the morning.
I	00:04:52.911	00:04:55.628	talk to my sister, introduce yourself.
A	00:04:56.504	00:04:57.609	go on, david.
C	00:04:59.198	00:05:00.626	hello, i'm david.
C	00:05:02.860	00:05:04.520	i come from manchester.
C	00:05:05.048	00:05:06.153	i'm a lawyer.
C	00:05:06.245	00:05:07.720	i work in oxfords.
C	00:05:07.840	00:05:08.502	that's it.
I	00:05:10.390	00:05:11.726	what things do you like?
C	00:05:14.280	00:05:16.585	i like my job.
C	00:05:17.138	00:05:19.120	and football, swimming...
C	00:05:20.220	00:05:21.790	i like a quiet breakfast.
C	00:05:21.810	00:05:23.553	and i don't like video cameras.
C	00:05:24.080	00:05:25.650	and i start work at eight o'clock.
C	00:05:25.659	00:05:26.661	so, bye.
I	00:05:29.747	00:05:30.470	bye.
I	00:05:35.181	00:05:36.517	david's nice really.

I	00:05:44.151	00:05:44.693	ready?
A	00:05:45.395	00:05:46.028	just a minute.
A	00:05:48.366	00:05:49.172	ready.
A	00:05:49.817	00:05:51.164	hello, my name's helen.
A	00:05:51.417	00:05:53.430	i come from london but i live in oxford.
A	00:05:54.377	00:05:54.906	what else?
I	00:05:55.505	00:05:56.242	what do you do?
A	00:05:57.750	00:06:00.353	i'm a marketing assistant for a publishing company.
A	00:06:00.940	00:06:04.705	i work in oxford but i sometimes go to the london office.
A	00:06:05.258	00:06:09.576	i usually go to work at eight o'clock, and i get home at half past six.
I	00:06:10.532	00:06:11.333	is it a good job?
A	00:06:12.240	00:06:13.290	it's a very good job.
A	00:06:13.750	00:06:14.792	i really like it.
A	00:06:15.575	00:06:16.400	what else do i like?
A	00:06:18.270	00:06:20.1423	i also like good food, films...
A	00:06:20.964	00:06:22.600	i go to the gym at the weekend.
A	00:06:23.048	00:06:24.430	oh, and i like travel.
A	00:06:24.833	00:06:26.503	i love france and spain.
A	00:06:27.366	00:06:29.300	i speak a little french and spanish.
I	00:06:30.671	00:06:32.170	what things don't you like?
A	00:06:34.540	00:06:37.407	well, i don't like noise.
A	00:06:38.420	00:06:40.180	oh, and i don't like cigarettes.
I	00:06:42.243	00:06:42.698	great.
A	00:06:43.786	00:06:44.770	you're welcome.
I	00:06:45.444	00:06:46.250	where's matt?
A	00:06:47.850	00:06:49.070	I think matthew's still in bed.

I	00:06:52.917	00:06:53.654	matt?
I	00:06:57.799	00:06:58.398	matt?
I	00:06:59.940	00:07:00.747	it's jane.
I	00:07:01.173	00:07:02.420	can i come in?
I	00:07:11.513	00:07:12.066	matt?
I	00:07:13.000	00:07:14.970	do you want to be in a film for my sister?
I	00:07:21.900	00:07:22.913	just say something.
I	00:07:24.200	00:07:25.204	where are you from?
I	00:07:36.558	00:07:37.145	matt?
I	00:07:38.000	00:07:38.895	where are you from?
